"sampleID","sex","Season","Location","SubSiteID","Estuary","Year","Complex","prey.name","sizeclass","count"
"Pv16.A025","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.LG",1
"Pv16.A025","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM",1
"Pv16.A026","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.MED.LG",2
"Pv16.A026","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",3
"Pv16.A026","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM",1
"Pv16.A027","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.LG",4
"Pv16.A027","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",2
"Pv16.A027","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.VLG",1
"Pv16.A027","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM",1
"Pv16.A028","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",3
"Pv16.A029","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.LG",1
"Pv16.A029","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",6
"Pv16.A029","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.VLG",1
"Pv16.A030","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","SALMON","SIZE.VSM",1
"Pv16.A033","FEMALE","Spring","Great Chain","H0004","Non-Estuary",2016,"Chain_Islets","HERRING","SIZE.SM.MED",1
"Pv16.A037","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A037","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",1
"Pv16.A037","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","SALMON","SIZE.VSM",1
"Pv16.A038","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A038","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","SALMON","SIZE.MED",1
"Pv16.A039","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A039","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",11
"Pv16.A040","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM",1
"Pv16.A040","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",2
"Pv16.A040","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",15
"Pv16.A041","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.LG",1
"Pv16.A041","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A041","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A042","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.MED.LG",3
"Pv16.A043",NA,"Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A044","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A045","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.LG",1
"Pv16.A045","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",2
"Pv16.A045","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A045","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A046","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",24
"Pv16.A047","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",4
"Pv16.A047","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A048","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",7
"Pv16.A048","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A049","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A049","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A049","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",1
"Pv16.A051","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",22
"Pv16.A053","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",11
"Pv16.A053","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM",10
"Pv16.A058","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A059","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A059","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.A060","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A060","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.SM.MED",1
"Pv16.A061","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A062","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
